RESULTADOS DEL ALGORITMO GENÉTICO
============================================================

Generación 107 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 108 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 109 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 110 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 111 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 112 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 113 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 114 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 115 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 116 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 117 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 118 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 119 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 120 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
Generación 121 | Fitness: 0.515880 | Cobertura: 55.78% | Potencia: 310 W | Focos: 6 | Iluminación promedio: 25.47 lux | Mínima: 0.01 lux | Máxima: 77.36 lux
